이슈키,이슈유형,부모이슈,상태,고객사,제목,이슈본문,댓글작성자,댓글내용,생성일,완료일,담당자
AS-177,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - ARS 서비스 이용료 정산 (우리모바일),"업무 설명 : ARS 서비스 이용료 정산 (우리모바일)— 실행빈도 : 매월 1회소요시간 : 월 30분 -> 월 15분사용 프로그램 : CLOVA OCR, ChatGPT데이터소스 :  세금계산서 PDF—결과물 형태 : 매월 초 수신되는 세금계산서 금액을 확인해 지출결의서를 자동 생성하고, 최종 확인 후 경지팀에 제출",N/A,댓글 없음,2026-03-16T20:43:40.175+0900,,윤종웅
AS-178,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - TasOn 환불금 정산,"업무 설명 : TasOn 환불금 정산— 실행빈도 : 매월 2회소요시간 : 월 2~3시간 -> 월 30분사용 프로그램 : CLOVA OCR, ChatGPT데이터소스 :  세금계산서 PDF, 환불 신청 내역—결과물 형태 : 환불 신청 건의 고객 정보를 어드민에서 일괄 추출·정리하고, 고객별 파일과 지출결의서를 자동 생성한 뒤 최종 제출 및 환불 완료 처리만 수기 진행",N/A,댓글 없음,2026-03-16T20:43:41.894+0900,,윤종웅
AS-179,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - TasOn/MA/푸시피아 마감,"업무 설명 : TasOn/MA/푸시피아 마감— 실행빈도 : 매월 1회소요시간 : 월 4~5시간 -> 월 1~2시간사용 프로그램 : CLOVA OCR, ChatGPT데이터소스 :  어드민 결제 정보, PG사 결제 데이터—결과물 형태 : 기본 RAW 데이터(결제수단별 내역) 일괄 다운로드는 자동화해 한 번에 처리하고,사이버브랜치·어드민·국세청 내역 정리 및 데이터 대사·정합성 확인은 기존대로 수기로 진행하는 형태로 진행",N/A,댓글 없음,2026-03-16T20:43:43.472+0900,,윤종웅
AS-180,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - MA 안분자료 작성,"업무 설명 : MA 안분자료 작성— 실행빈도 : 매월 1회소요시간 : 월 30분 -> 월 10분사용 프로그램 : Gemini데이터소스 :  MA 정산 데이터—결과물 형태 : 광동제약과 마르헨제이의 발송량이 자동으로 집계되어, 해당 수치를 운영자가 그대로 합산하여 기재할 수 있도록 진행",N/A,댓글 없음,2026-03-16T20:43:44.893+0900,,윤종웅
AS-181,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - TasOn 이메일 제휴사 정산 (팩스 포함),"업무 설명 : TasOn 이메일 제휴사 정산 (팩스 포함)— 실행빈도 : 매월 1회소요시간 : 월 2~3시간 -> 월 1시간사용 프로그램 : Power Automate Desktop데이터소스 :  어드민 로그인 정보, 제휴사별 CSV—결과물 형태 : 이메일 제휴사 사용분이 자동 산출되도록 자동화하고, 이후 표 정리·메일 발송·기안·지출결의는 기존대로 진행",N/A,댓글 없음,2026-03-16T20:43:46.431+0900,,윤종웅
AS-182,하위 작업,AS-12,해야 할 일,미분류,TasOn 정산 - 080 수신거부 통신료 (엘지유플러스),"업무 설명 : 080 수신거부 통신료 (엘지유플러스)— 실행빈도 : 매월 1회소요시간 : 월 30분 -> 월 10분사용 프로그램 : ChatGPT데이터소스 :  통지서 PDF—결과물 형태 : 지출결의서 작성을 자동화하고, 통지서와 함께 경지팀에 제출만 함.",N/A,댓글 없음,2026-03-16T20:43:47.823+0900,,윤종웅
AS-183,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - 이메일/문자/알림톡 발송 승인 처리,"업무 설명 : 이메일/문자/알림톡 발송 승인 처리— 실행빈도 : 매일소요시간 : 일 3~4시간 -> 일 30분사용 프로그램 : Dify데이터소스 :  기존 발송 내역 데이터—결과물 형태 : 발송 승인 판단 로직은 우선 일치 여부 확인 중심으로 부분 자동화하고, 검증과 안정화 이후 단계적으로 확대 적용 예정-> 검증 및 안정화 단계가 지나기 전까지는 기존대로 수기로 진행",N/A,댓글 없음,2026-03-16T20:43:49.405+0900,,윤종웅
AS-184,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - 견적서/거래명세서 발급,"업무 설명 : 견적서/거래명세서 발급— 실행빈도 : 매일소요시간 : 일 30분~1시간 -> 0분(자동)사용 프로그램 : Zapier데이터소스 :  기존 서류 양식, 업체 리스트 정리—결과물 형태 : 견적서/거래명세서를 고객이 직접 자동발급 할 수 있도록 함",N/A,댓글 없음,2026-03-16T20:43:51.006+0900,,윤종웅
AS-185,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - 서비스 소개서 및 이용 가이드 전달,"업무 설명 : 서비스 소개서 및 이용 가이드 전달— 실행빈도 : 수시소요시간 : 1회당 4~5시간 -> 1회당 1~2시간사용 프로그램 : Gamma, Canva AI데이터소스 :  기존 소개서(PDF), 신규 기능 설명—결과물 형태 : 서비스 소개서 및 이용가이드를 AI 를 활용하여 업데이트",N/A,댓글 없음,2026-03-16T20:43:52.614+0900,,윤종웅
AS-186,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - 문자/팩스 발신번호 인증 승인,"업무 설명 : 문자/팩스 발신번호 인증 승인— 실행빈도 : 매일소요시간 : 건당 10분 -> 건당 3~5분사용 프로그램 : Dify데이터소스 :  승인 요청 데이터, 증빙 서류 이미지—결과물 형태 : 문자·팩스 발신번호 승인 판단은 우선 일치 여부 확인 중심으로 부분 자동화하되, 안정화 전까지는 기존대로 수기로 진행하고개인 계정의 경우 등록된 발신번호 현황이 자동으로 확인되도록 개선",N/A,댓글 없음,2026-03-16T20:43:54.225+0900,,윤종웅
AS-187,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - 무통장 충전 신청 처리,"업무 설명 : 무통장 충전 신청 처리— 실행빈도 : 매일소요시간 : 건당 10분 -> 건당 3~5분사용 프로그램 : Dify데이터소스 :  승인 요청 데이터, 실제 입금 내역—결과물 형태 : 국민은행 공용폰 번호 등록과 정보 연동을 기반으로 무통장 충전 프로세스 자동화를 추진하되,실제 입금자명과 고객 입력명이 다른 경우를 고려해 점진적으로 고도화",N/A,댓글 없음,2026-03-16T20:43:55.803+0900,,윤종웅
AS-188,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - 카카오 비즈메시지 승인,"업무 설명 : 카카오 비즈메시지 승인— 실행빈도 : 매일소요시간 : 건당 10분 -> 건당 3~5분사용 프로그램 : Dify데이터소스 :  승인 요청 데이터, 증빙 서류 이미지—결과물 형태 : 스패머인 경우를 판단할 수 있는 명확한 기준이 없어 기존과 같이 수기로 진행",N/A,댓글 없음,2026-03-16T20:43:57.570+0900,,윤종웅
AS-189,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - 개인→사업자 전환 요청 승인 처리,"업무 설명 : 개인→사업자 전환 요청 승인 처리— 실행빈도 : 매일소요시간 : 건당 10분 -> 건당 3~5분사용 프로그램 : Dify데이터소스 :  승인 요청 데이터, 증빙 서류 이미지—결과물 형태 : 사업자등록 승인에 필요한 서류를 한 번에 확인할 수 있도록 개선해 승인 판단 시간을 단축하고, 자동 승인 여부는 점진적으로 고도화하되 그전까지는 기존대로 수기로 진행",N/A,댓글 없음,2026-03-16T20:43:59.252+0900,,윤종웅
AS-190,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - TasOn 스팸 신고 확인 및 소명 회신,"업무 설명 : TasOn 스팸 신고 확인 및 소명 회신— 실행빈도 : 매일소요시간 : 건당 15분 -> 건당 5분사용 프로그램 : Gemini데이터소스 :  스팸 신고 내역, 소명 템플릿—결과물 형태 : 고객 안내 문구를 AI 기반 템플릿으로 사전 제작해두고, 클릭만으로 바로 발송할 수 있도록 함",N/A,댓글 없음,2026-03-16T20:44:00.926+0900,,윤종웅
AS-191,하위 작업,AS-12,해야 할 일,미분류,TasOn 운영 관리 - KISA 발신자 확인 요청 대응,"업무 설명 : KISA 발신자 확인 요청 대응— 실행빈도 : 매일소요시간 : 일 1시간 -> 일 20분사용 프로그램 : Gemini데이터소스 :  스팸 신고 내역, 소명 템플릿—결과물 형태 : 건별로 상이하며, KISA 사이트와의 연동이 어려워 자동화는 불가하여 기존과 같이 수기로 진행",N/A,댓글 없음,2026-03-16T20:44:02.460+0900,,윤종웅
AS-192,하위 작업,AS-12,해야 할 일,미분류,TasOn VIP 관리 - VIP 정책 수립 및 혜택 관리 / 매출 증대 방안 모색,"업무 설명 : VIP 정책 수립 및 혜택 관리 / 매출 증대 방안 모색— 실행빈도 : 매월 1회소요시간 : 월 5~6시간 -> 월 1.5시간사용 프로그램 : Python (Pandas, Scikit-learn)데이터소스 :  고객 충전 이력 DB—결과물 형태 : 매월 VIP 리스트를 수동으로 관리하던 업무를 내부 기준에 따라 대상자가 자동 편입되도록 개선하고,VIP 추가·제거 대상자도 자동으로 리스트업되도록 하며 머신러닝을 활용해 고객을 더욱 세분화하여 VIP 대상 선별의 정교도를 높임",N/A,댓글 없음,2026-03-16T20:44:04.149+0900,,윤종웅
AS-193,하위 작업,AS-12,해야 할 일,미분류,TasOn 프로모션 관리 - TasOn 매출 증대를 위한 프로모션 관리,"업무 설명 : TasOn 매출 증대를 위한 프로모션 관리— 실행빈도 : 수시소요시간 : 월 10시간 이상 -> 월 3시간사용 프로그램 : Python (Scikit-learn)데이터소스 :  고객 구매/접속 이력 DB—결과물 형태 : 프로모션 혜택 지급은 관리 페이지를 통해 프로세스를 자동화하고,프로모션 대상자는 머신러닝을 활용해 이탈 가능 고객 등 여러 조건으로 세분화하여 보다 쉽고 정확하게 추출할 수 있도록 개선하며 프로모션 관리 및 자동 운영 부분은 추후 순차적으로 고도화할 예정입니다.",N/A,댓글 없음,2026-03-16T20:44:05.826+0900,,윤종웅
